Destination;Group;Rate
MOROCCO GSM MEDITEL;;0.4313
MOROCCO GSM WANA FULL MOBILITY;;0.4299
MOROCCO GSM WANA REST MOBILITY;;0.25
MOROCCO IAM;;0.0125
MOROCCO MEDITEL;;0.1388
MOROCCO WANA;;0.0775
MOZAMBIQUE;;0.0409
MOZAMBIQUE GSM;;0.225
MOZAMBIQUE GSM MCEL;;0.1588
MOZAMBIQUE GSM VODA;;0.2238
MYANMAR;;0.0495
MYANMAR GSM OOREDOO;;0.2388
NAMIBIA;;0.049
NAMIBIA GSM LEO;;0.0363
NAMIBIA GSM MTC;;0.0352
NAURU;;1.25
NEPAL;;0.1288
NEPAL GSM;;0.0936
NEPAL GSM SPICES;;0.1495
NETHERLANDS;;0.3125
NETHERLANDS;NLZ1;0.0088
NETHERLANDS ANT;;0.1185
NETHERLANDS ANT GSM;;0.1085
NETHERLANDS ANT SAINT MARTIN;;0.1137
NETHERLANDS GSM;;0.225
NETHERLANDS GSM;NLZ1;0.0073
NETHERLANDS GSM KPN;;0.225
NETHERLANDS GSM KPN;NLZ1;0.0073
NETHERLANDS GSM LYCAMOBILE;;0.225
NETHERLANDS GSM LYCAMOBILE;NLZ1;0.0073
NETHERLANDS GSM TELF;;0.225
NETHERLANDS GSM TELF;NLZ1;0.0073
NETHERLANDS GSM TL2;;0.225
NETHERLANDS GSM TL2;NLZ1;0.0073
NETHERLANDS GSM TMOB;;0.225
NETHERLANDS GSM TMOB;NLZ1;0.0073
NETHERLANDS GSM VODA;;0.225
NETHERLANDS GSM VODA;NLZ1;0.0073
NEW CALEDONIA;;0.1875
NEW CALEDONIA GSM;;0.1875
NEW ZEALAND;;0.0084
NEW ZEALAND GSM;;0.0334
NEW ZEALAND GSM VODA;;0.0301
NICARAGUA;;0.1063
NICARAGUA GSM;;0.2237
NIGER;;0.1895
NIGER GSM;;0.2689
NIGER GSM AIRTEL;;0.2713
NIGER GSM ORANGE;;0.175
NIGERIA;;0.086
NIGERIA GSM;;0.075
NIGERIA GSM AIRTEL;;0.075
NIGERIA GSM GLOBACOM;;0.075
NIGERIA GSM MTN;;0.0869
NIGERIA GSM NITEL;;0.0864
NIUE;;1.25
NORTH KOREA;;0.344
NORTHERN MARIANA ISLAND;;0.0563
NORTHERN MARIANA ISLANDS GSM;;0.0563
NORWAY;;0.004
NORWAY GSM;;0.0075
NORWAY GSM NETCOM;;0.0075
NORWAY GSM TELENOR;;0.0075
NORWAY PRS;;0.1004
OMAN;;0.0888
OMAN GSM;;0.2612
ONAIR GSM AIRCRAFT;;0.6813
PAKISTAN;;0.0413
PAKISTAN GSM;;0.0351
PAKISTAN GSM MOBLINK;;0.0357
PAKISTAN GSM TELENOR;;0.0324
PAKISTAN GSM UFONE;;0.0362
PAKISTAN GSM WARID;;0.034
PAKISTAN GSM ZONG;;0.0373
PALAU;;2.5
PALESTINE;;0.135
PALESTINE GSM;;0.1561
PANAMA;;0.011
PANAMA GSM;;0.0879
PAPUA NEW GUINEA;;1.25
PAPUA NEW GUINEA GSM;;1.25
PARAGUAY;;0.022
PARAGUAY ASUNCION;;0.0212
PARAGUAY GSM;;0.0352
PERU;;0.0038
PERU GSM;;0.0131
PERU GSM MOVISTAR;;0.0131
PERU LIMA;;0.0027
PERU RURAL;;0.0123
PHILIPPINES;;0.0809
PHILIPPINES GSM;;0.1461
PHILIPPINES GSM GLOB;;0.0995
PHILIPPINES GSM SMAR;;0.0973
POLAND;;0.0077
POLAND GSM;;0.0399
POLAND GSM ERA;;0.1205
POLAND GSM ERA;PLZ1;0.014
POLAND GSM ORANGE;;0.0943
POLAND GSM ORANGE;PLZ1;0.014
POLAND GSM PLUS;;0.0934
POLAND GSM PLUS;PLZ1;0.014
POLAND GSM PM4;;0.0906
POLAND GSM PM4;PLZ1;0.014
POLAND OLO;;0.0116
POLAND PRS;;0.0084
PORTUGAL;;0.0193
PORTUGAL;EED;0.001
PORTUGAL GSM MEO;;0.0788
PORTUGAL GSM MEO;CH2;0.0788
PORTUGAL GSM MEO;CH3;0.0788
PORTUGAL GSM MEO;EEA;0.0094
PORTUGAL GSM NOS;;0.0788
PORTUGAL GSM NOS;EEA;0.0094
PORTUGAL GSM VODAFONE;;0.0788
PORTUGAL GSM VODAFONE;AO1;0.1313
PORTUGAL GSM VODAFONE;EEA;0.0094
PORTUGAL GSM VODAFONE;GWN;0.4438
PORTUGAL GSM VODAFONE;MZ1;0.302
PUERTO RICO;;0.0058
PUERTO RICO GSM;;0.0048
QATAR;;0.1625
QATAR GSM;;0.1455
QATAR GSM VODAFONE;;0.1455
REUNION;;0.0048
REUNION;EEA;0.0023
REUNION GSM ORANGE;;0.07
REUNION GSM ORANGE;EEA;0.0105
REUNION GSM OTM;;0.07
REUNION GSM OTM;EEA;0.0105
REUNION GSM SRR;;0.07
REUNION GSM SRR;EEA;0.0105
REUNION SRR;;0.004
REUNION SRR;EEA;0.0023
ROMANIA;;0.0036
ROMANIA ASTRAL;;0.0036
ROMANIA BUCHAREST;;0.0021
ROMANIA GSM;;0.012
ROMANIA GSM COSMOROM;;0.012
ROMANIA GSM ORANGE;;0.012
ROMANIA GSM TELEMOBIL;;0.012
ROMANIA GSM VODAFONE;;0.012
RUSSIA ABKHAZIA;;0.2094
RUSSIA GSM;;0.2061
RUSSIA GSM BEELINE;;0.2063
RUSSIA GSM MEGAFON;;0.1813
RUSSIA GSM MTS;;0.1288
RUSSIA MOSCOW;;0.0109
RUSSIA PRS;;2.5
RUSSIA ST PETERSBURG;;0.0085
RUSSIA ZONE 1;;0.0166
RUSSIA ZONE 2;;0.0188
RUSSIA ZONE 3;;0.0226
RUSSIA ZONE 4;;0.0266
RUSSIA ZONE 5;;0.0525
RWANDA;;0.3013
RWANDA GSM;;0.2375
RWANDA GSM MTN;;0.2453
SAMOA;;1.25
SAN MARINO;;0.0126
SAN MARINO GSM;;0.1739
SAN MARINO PRS;;2.5
SAO TOME;;0.9688
